 52 te124         6.5055294434E-10
 52 te125         9.7001691730E-10
 52 te126         2.6317135588E-09
 52 te128         4.5403272873E-09
 52 te130         4.9411884720E-09
 53 i 127         3.1891753123E-09
 54 xe124         2.1542367296E-11
 54 xe126         1.9509313910E-11
 54 xe128         3.8644171373E-10
 54 xe129         4.7914889320E-09
 54 xe130         7.6528349716E-10
 54 xe131         3.8650745329E-09
 54 xe132         4.6823075980E-09
 54 xe134         1.7660359403E-09
 54 xe136         1.4569477453E-09
 55 cs133         1.1580951986E-09
 56 ba130         2.2071494931E-11
 56 ba132         1.9973902443E-11
 56 ba134         4.9773326130E-10
 56 ba135         1.3496828433E-09
 56 ba136         1.6346905207E-09
 56 ba137         2.3260733124E-09
 56 ba138         1.5128025771E-08
 57 la138         1.3483049471E-12
 57 la139         1.4552029760E-09
 58 ce136         7.8242677553E-12
 58 ce138         1.0709879827E-11
 58 ce140         3.8551036742E-09
 58 ce142         4.9227995395E-10
 59 pr141         6.4437108493E-10
 60 nd142         8.3600234715E-10
 60 nd143         3.7606552234E-10
 60 nd144         7.3840172215E-10
 60 nd145         2.5781461542E-10
 60 nd146         5.4237017416E-10
 60 nd148         1.8206197139E-10
 60 nd150         1.8452857594E-10
 62 sm144         3.2232833656E-11
 62 sm147         1.6491771236E-10
 62 sm148         1.2308727628E-10
 62 sm149         1.4898628171E-10
 62 sm150         8.0547700265E-11
 62 sm152         2.9635731472E-10
 62 sm154         2.5556580989E-10
 63 eu151         1.9451264064E-10
 63 eu153         2.1610720559E-10
 64 gd152         3.0326048274E-12
 64 gd154         3.2922967383E-11
 64 gd155         2.2403523061E-10
 64 gd156         3.1849984077E-10
 64 gd157         2.4315921707E-10
 64 gd158         3.8783759278E-10
 64 gd160         3.4207663682E-10
 65 tb159         2.6387280401E-10
 66 dy156         8.9766691671E-13
 66 dy158         1.5440121952E-12
 66 dy160         3.8381183299E-11
 66 dy161         3.1392810595E-10
 66 dy162         4.2610849590E-10
 66 dy163         4.1898564116E-10
 66 dy164         4.8401376960E-10
 67 ho165         4.0504378375E-10
 68 er162         1.5831625494E-12
 68 er164         1.8401693846E-11
 68 er166         3.8915905901E-10
 68 er167         2.6469222603E-10
 68 er168         3.2013700816E-10
 68 er170         1.7802684147E-10
 69 tm169         1.7294940728E-10
 70 yb168         1.2171379514E-12
 70 yb170         2.9544979390E-11
 70 yb171         1.4224461332E-10
 70 yb172         2.1655551422E-10
 70 yb173         1.6147021583E-10
 70 yb174         3.2403960110E-10
 70 yb176         1.3048854840E-10
 71 lu175         1.7502194306E-10
 71 lu176         5.1948460746E-12
 72 hf174         1.6240561684E-12
 72 hf176         5.3158109833E-11
 72 hf177         1.8968605153E-10
 72 hf178         2.8215261644E-10
 72 hf179         1.4220766815E-10
 72 hf180         3.6757417553E-10
 73 ta180         1.2745215901E-14
 73 ta181         1.0908253986E-10
 74 w 180         1.0847892502E-12
 74 w 182         2.4555525789E-10
 74 w 183         1.3259721601E-10
 74 w 184         2.8503845474E-10
 74 w 186         2.6891054903E-10
 75 re185         1.0895890711E-10
 75 re187         2.0041964950E-10
